GroupA,GroupB,Distance,Group
1119,6199,5.0,2008
4616,6199,5.0,2008
1119,4616,7.0710678118654755,2008
3197,6199,7.0710678118654755,2008
3198,6199,7.0710678118654755,2008
6199,7426,7.0710678118654755,2008
6199,8766,7.0710678118654755,2008
6199,9979,7.0710678118654755,2008
1119,3197,8.660254037844387,2008
1119,3198,8.660254037844387,2008
1119,7426,8.660254037844387,2008
1119,8766,8.660254037844387,2008
1119,9979,8.660254037844387,2008
3088,3197,8.660254037844387,2008
3088,6199,8.660254037844387,2008
3197,4616,8.660254037844387,2008
3198,4616,8.660254037844387,2008
3198,4878,8.660254037844387,2008
4616,7426,8.660254037844387,2008
4616,8766,8.660254037844387,2008
4616,9979,8.660254037844387,2008
4878,6199,8.660254037844387,2008
4878,8766,8.660254037844387,2008
6199,9455,8.660254037844387,2008
1044,3198,10.0,2008
1044,6199,10.0,2008
1119,3088,10.0,2008
1119,4878,10.0,2008
1119,9455,10.0,2008
3088,4616,10.0,2008
3088,9747,10.0,2008
3138,9455,10.0,2008
3197,3198,10.0,2008
3197,7426,10.0,2008
3197,8766,10.0,2008
3197,9979,10.0,2008
3198,7426,10.0,2008
3198,8552,10.0,2008
3198,8766,10.0,2008
3198,9979,10.0,2008
3528,6199,10.0,2008
4616,4878,10.0,2008
4616,9455,10.0,2008
4878,9455,10.0,2008
6199,8552,10.0,2008
7426,8766,10.0,2008
7426,9979,10.0,2008
8766,9979,10.0,2008
1044,1119,11.180339887498949,2008
1044,3088,11.180339887498949,2008
3197,3198,5.0,2009
3197,8766,5.0,2009
3198,4616,5.0,2009
3198,4878,5.0,2009
4616,8766,5.0,2009
4878,8766,5.0,2009
3197,3528,7.0710678118654755,2009
3197,6199,7.0710678118654755,2009
3197,9455,7.0710678118654755,2009
3197,9979,7.0710678118654755,2009
3198,8766,7.0710678118654755,2009
3528,4616,7.0710678118654755,2009
3528,4878,7.0710678118654755,2009
4616,6199,7.0710678118654755,2009
4616,9455,7.0710678118654755,2009
4616,9979,7.0710678118654755,2009
4878,6199,7.0710678118654755,2009
4878,9455,7.0710678118654755,2009
4878,9979,7.0710678118654755,2009
6199,9979,7.0710678118654755,2009
8613,9455,7.0710678118654755,2009
1119,3197,8.660254037844387,2009
1119,4616,8.660254037844387,2009
1119,4878,8.660254037844387,2009
3197,8552,8.660254037844387,2009
3198,3528,8.660254037844387,2009
3198,6199,8.660254037844387,2009
3198,9455,8.660254037844387,2009
3198,9979,8.660254037844387,2009
3528,8766,8.660254037844387,2009
4616,8552,8.660254037844387,2009
4878,8552,8.660254037844387,2009
6199,8766,8.660254037844387,2009
8766,9455,8.660254037844387,2009
8766,9979,8.660254037844387,2009
1119,3198,10.0,2009
1119,8766,10.0,2009
1329,3197,10.0,2009
1329,4616,10.0,2009
1329,4878,10.0,2009
1332,3197,10.0,2009
1332,3989,10.0,2009
1332,4616,10.0,2009
1332,4878,10.0,2009
3088,3197,10.0,2009
3088,4616,10.0,2009
3088,4878,10.0,2009
3088,9085,10.0,2009
3088,9455,10.0,2009
3197,3989,10.0,2009
1329,8766,5.0,2010
3197,8766,5.0,2010
3198,8766,5.0,2010
6199,8766,5.0,2010
8766,8883,5.0,2010
1329,4878,7.0710678118654755,2010
3197,4878,7.0710678118654755,2010
3198,4878,7.0710678118654755,2010
3528,8766,7.0710678118654755,2010
4878,6199,7.0710678118654755,2010
4878,8883,7.0710678118654755,2010
1329,3528,8.660254037844387,2010
1329,3989,8.660254037844387,2010
1329,6421,8.660254037844387,2010
1329,8221,8.660254037844387,2010
1329,9455,8.660254037844387,2010
3197,3528,8.660254037844387,2010
3197,3989,8.660254037844387,2010
3197,6421,8.660254037844387,2010
3197,8221,8.660254037844387,2010
3197,9455,8.660254037844387,2010
3198,3528,8.660254037844387,2010
3198,3989,8.660254037844387,2010
3198,6421,8.660254037844387,2010
3198,8221,8.660254037844387,2010
3198,9455,8.660254037844387,2010
3528,6199,8.660254037844387,2010
3528,8883,8.660254037844387,2010
3989,6199,8.660254037844387,2010
3989,8883,8.660254037844387,2010
4878,8766,8.660254037844387,2010
6199,6421,8.660254037844387,2010
6199,8221,8.660254037844387,2010
6199,9455,8.660254037844387,2010
6421,8883,8.660254037844387,2010
8221,8883,8.660254037844387,2010
8552,8766,8.660254037844387,2010
8883,9455,8.660254037844387,2010
1119,1329,10.0,2010
1119,3197,10.0,2010
1119,3198,10.0,2010
1119,3606,10.0,2010
1119,6199,10.0,2010
1119,8883,10.0,2010
1329,3606,10.0,2010
1329,8319,10.0,2010
1329,8552,10.0,2010
3197,3606,10.0,2010
3197,8319,10.0,2010
3197,8552,10.0,2010
1322,1327,5.0,2011
1322,3197,5.0,2011
1322,3198,5.0,2011
1322,6199,5.0,2011
1327,1329,5.0,2011
1329,3197,5.0,2011
1329,3198,5.0,2011
1329,6199,5.0,2011
1118,1322,7.0710678118654755,2011
1118,1329,7.0710678118654755,2011
1322,4878,7.0710678118654755,2011
1322,8319,7.0710678118654755,2011
1322,8766,7.0710678118654755,2011
1327,3197,7.0710678118654755,2011
1327,3198,7.0710678118654755,2011
1327,6199,7.0710678118654755,2011
1327,9613,7.0710678118654755,2011
1327,9979,7.0710678118654755,2011
1329,4878,7.0710678118654755,2011
1329,8319,7.0710678118654755,2011
1329,8766,7.0710678118654755,2011
3197,3198,7.0710678118654755,2011
3197,6199,7.0710678118654755,2011
3198,5656,7.0710678118654755,2011
3198,6199,7.0710678118654755,2011
6199,9455,7.0710678118654755,2011
8319,8766,7.0710678118654755,2011
1044,1322,8.660254037844387,2011
1044,1329,8.660254037844387,2011
1118,1327,8.660254037844387,2011
1118,3197,8.660254037844387,2011
1118,3198,8.660254037844387,2011
1118,5656,8.660254037844387,2011
1118,6199,8.660254037844387,2011
1322,3528,8.660254037844387,2011
1322,5656,8.660254037844387,2011
1322,9455,8.660254037844387,2011
1322,9613,8.660254037844387,2011
1322,9979,8.660254037844387,2011
1327,4878,8.660254037844387,2011
1327,7426,8.660254037844387,2011
1327,8319,8.660254037844387,2011
1327,8766,8.660254037844387,2011
1329,3528,8.660254037844387,2011
1329,5656,8.660254037844387,2011
1329,9455,8.660254037844387,2011
1329,9613,8.660254037844387,2011
1329,9979,8.660254037844387,2011
3197,4878,8.660254037844387,2011
3197,8319,8.660254037844387,2011
1044,4878,5.0,2012
1044,9979,5.0,2012
1117,3198,5.0,2012
1117,4878,5.0,2012
1117,8319,5.0,2012
1117,9979,5.0,2012
1322,4878,5.0,2012
1322,9979,5.0,2012
1329,3198,5.0,2012
3197,3198,5.0,2012
3528,9979,5.0,2012
1044,1117,7.0710678118654755,2012
1044,3528,7.0710678118654755,2012
1117,1322,7.0710678118654755,2012
1117,1329,7.0710678118654755,2012
1117,3197,7.0710678118654755,2012
1117,3528,7.0710678118654755,2012
1117,5656,7.0710678118654755,2012
1117,8766,7.0710678118654755,2012
1117,9455,7.0710678118654755,2012
1322,3528,7.0710678118654755,2012
1329,3138,7.0710678118654755,2012
1329,3197,7.0710678118654755,2012
3138,8871,7.0710678118654755,2012
3198,4878,7.0710678118654755,2012
3198,8319,7.0710678118654755,2012
3198,9979,7.0710678118654755,2012
4878,8319,7.0710678118654755,2012
4878,9979,7.0710678118654755,2012
8319,9979,7.0710678118654755,2012
1044,3198,8.660254037844387,2012
1044,8319,8.660254037844387,2012
1117,6199,8.660254037844387,2012
1322,3198,8.660254037844387,2012
1322,8319,8.660254037844387,2012
1329,4878,8.660254037844387,2012
1329,8319,8.660254037844387,2012
1329,9979,8.660254037844387,2012
3138,3198,8.660254037844387,2012
3197,4878,8.660254037844387,2012
3197,8319,8.660254037844387,2012
3197,9979,8.660254037844387,2012
3198,3528,8.660254037844387,2012
3198,5656,8.660254037844387,2012
3198,8766,8.660254037844387,2012
3198,8871,8.660254037844387,2012
3198,9455,8.660254037844387,2012
3528,4878,8.660254037844387,2012
3528,8319,8.660254037844387,2012
4878,5656,8.660254037844387,2012
1044,1327,5.0,2013
1044,1329,5.0,2013
1044,3197,5.0,2013
1044,3198,5.0,2013
1044,8766,5.0,2013
1117,1327,5.0,2013
1117,1329,5.0,2013
1117,3197,5.0,2013
1117,3198,5.0,2013
1117,8766,5.0,2013
1322,1327,5.0,2013
1322,1329,5.0,2013
1322,3197,5.0,2013
1322,3198,5.0,2013
1322,8766,5.0,2013
1044,1117,7.0710678118654755,2013
1044,1322,7.0710678118654755,2013
1117,1322,7.0710678118654755,2013
1117,8319,7.0710678118654755,2013
1327,8883,7.0710678118654755,2013
1327,9455,7.0710678118654755,2013
1329,8883,7.0710678118654755,2013
1329,9455,7.0710678118654755,2013
3197,8883,7.0710678118654755,2013
3197,9455,7.0710678118654755,2013
3198,8883,7.0710678118654755,2013
3198,9455,7.0710678118654755,2013
8766,8883,7.0710678118654755,2013
8766,9455,7.0710678118654755,2013
