GroupA,GroupB,Distance,Group
1027,9893,5.0,2008
1037,8856,5.0,2008
1037,9337,5.0,2008
1037,9998,5.0,2008
1041,1309,5.0,2008
1041,1642,5.0,2008
1041,8528,5.0,2008
1041,8756,5.0,2008
1042,8221,5.0,2008
1044,8752,5.0,2008
1044,9747,5.0,2008
1044,9979,5.0,2008
1047,1646,5.0,2008
1047,4859,5.0,2008
1047,4877,5.0,2008
1047,5647,5.0,2008
1047,7915,5.0,2008
1047,8045,5.0,2008
1047,8372,5.0,2008
1047,8489,5.0,2008
1047,8497,5.0,2008
1047,8527,5.0,2008
1047,8583,5.0,2008
1047,8631,5.0,2008
1047,8844,5.0,2008
1047,9087,5.0,2008
1047,9107,5.0,2008
1047,9435,5.0,2008
1099,8221,5.0,2008
1119,3528,5.0,2008
1119,4482,5.0,2008
1119,4616,5.0,2008
1119,6199,5.0,2008
1119,9455,5.0,2008
1154,4062,5.0,2008
1154,5145,5.0,2008
1154,8481,5.0,2008
1252,8079,5.0,2008
1309,2155,5.0,2008
1309,2409,5.0,2008
1309,3113,5.0,2008
1309,6341,5.0,2008
1309,7915,5.0,2008
1309,8372,5.0,2008
1309,8439,5.0,2008
1309,8466,5.0,2008
1309,8631,5.0,2008
1309,8844,5.0,2008
1309,9453,5.0,2008
1309,9691,5.0,2008
1027,9467,5.0,2009
1037,5114,5.0,2009
1037,9337,5.0,2009
1041,3113,5.0,2009
1041,9691,5.0,2009
1046,8524,5.0,2009
1047,6353,5.0,2009
1047,7929,5.0,2009
1047,8044,5.0,2009
1047,8372,5.0,2009
1047,8489,5.0,2009
1047,8503,5.0,2009
1047,8528,5.0,2009
1047,8733,5.0,2009
1047,8809,5.0,2009
1047,8844,5.0,2009
1047,8885,5.0,2009
1047,9087,5.0,2009
1047,9106,5.0,2009
1047,9152,5.0,2009
1047,9177,5.0,2009
1047,9359,5.0,2009
1047,9453,5.0,2009
1047,9535,5.0,2009
1047,9624,5.0,2009
1047,9749,5.0,2009
1119,3198,5.0,2009
1119,4616,5.0,2009
1119,6167,5.0,2009
1119,6199,5.0,2009
1119,6421,5.0,2009
1119,9085,5.0,2009
1119,9455,5.0,2009
1119,9747,5.0,2009
1119,9979,5.0,2009
1127,4247,5.0,2009
1145,9852,5.0,2009
1153,7467,5.0,2009
1154,3846,5.0,2009
1154,6684,5.0,2009
1154,8452,5.0,2009
1154,8813,5.0,2009
1309,2155,5.0,2009
1309,7472,5.0,2009
1309,7785,5.0,2009
1309,7859,5.0,2009
1309,8534,5.0,2009
1309,8756,5.0,2009
1309,8775,5.0,2009
1309,8853,5.0,2009
1037,2323,5.0,2010
1037,2809,5.0,2010
1037,4825,5.0,2010
1037,8452,5.0,2010
1037,8481,5.0,2010
1037,8895,5.0,2010
1037,9534,5.0,2010
1041,3113,5.0,2010
1042,2222,5.0,2010
1046,3088,5.0,2010
1046,8387,5.0,2010
1046,8752,5.0,2010
1047,1642,5.0,2010
1047,4859,5.0,2010
1047,5107,5.0,2010
1047,5647,5.0,2010
1047,7472,5.0,2010
1047,7536,5.0,2010
1047,8372,5.0,2010
1047,8503,5.0,2010
1047,8554,5.0,2010
1047,8583,5.0,2010
1047,8775,5.0,2010
1047,8844,5.0,2010
1047,8912,5.0,2010
1047,9152,5.0,2010
1047,9447,5.0,2010
1047,9624,5.0,2010
1119,1329,5.0,2010
1119,3198,5.0,2010
1145,9496,5.0,2010
1309,1642,5.0,2010
1309,4859,5.0,2010
1309,5107,5.0,2010
1309,5647,5.0,2010
1309,7472,5.0,2010
1309,7536,5.0,2010
1309,8372,5.0,2010
1309,8503,5.0,2010
1309,8554,5.0,2010
1309,8583,5.0,2010
1309,8775,5.0,2010
1309,8844,5.0,2010
1309,8912,5.0,2010
1309,9152,5.0,2010
1309,9447,5.0,2010
1309,9624,5.0,2010
1329,1332,5.0,2010
1329,3197,5.0,2010
1329,3528,5.0,2010
1027,6745,5.0,2011
1027,8041,5.0,2011
1037,2323,5.0,2011
1037,8895,5.0,2011
1037,9464,5.0,2011
1037,9827,5.0,2011
1042,8912,5.0,2011
1044,1118,5.0,2011
1044,1327,5.0,2011
1044,1329,5.0,2011
1044,3198,5.0,2011
1044,7426,5.0,2011
1044,7821,5.0,2011
1044,8883,5.0,2011
1044,9085,5.0,2011
1044,9455,5.0,2011
1044,9979,5.0,2011
1046,3088,5.0,2011
1046,8752,5.0,2011
1047,1642,5.0,2011
1047,2155,5.0,2011
1047,8733,5.0,2011
1047,9447,5.0,2011
1118,1332,5.0,2011
1118,3197,5.0,2011
1118,3528,5.0,2011
1118,3989,5.0,2011
1118,4482,5.0,2011
1118,4878,5.0,2011
1118,5656,5.0,2011
1118,6421,5.0,2011
1118,8291,5.0,2011
1118,8362,5.0,2011
1118,8612,5.0,2011
1118,8833,5.0,2011
1118,8871,5.0,2011
1118,9459,5.0,2011
1118,9613,5.0,2011
1118,9841,5.0,2011
1118,9925,5.0,2011
1145,9441,5.0,2011
1153,4796,5.0,2011
1154,1489,5.0,2011
1154,5114,5.0,2011
1154,8813,5.0,2011
1309,1642,5.0,2011
1309,2155,5.0,2011
1309,2409,5.0,2011
1309,7610,5.0,2011
1309,8466,5.0,2011
1041,2155,5.0,2012
1041,3113,5.0,2012
1041,8372,5.0,2012
1041,8745,5.0,2012
1041,9214,5.0,2012
1041,9447,5.0,2012
1042,1046,5.0,2012
1042,1118,5.0,2012
1042,3447,5.0,2012
1042,8752,5.0,2012
1044,1332,5.0,2012
1044,3989,5.0,2012
1044,4878,5.0,2012
1044,5656,5.0,2012
1044,6199,5.0,2012
1044,6421,5.0,2012
1044,7426,5.0,2012
1044,8319,5.0,2012
1044,8871,5.0,2012
1044,9979,5.0,2012
1046,3606,5.0,2012
1046,8387,5.0,2012
1046,9486,5.0,2012
1046,9489,5.0,2012
1117,1332,5.0,2012
1117,3989,5.0,2012
1117,4878,5.0,2012
1117,5656,5.0,2012
1117,6199,5.0,2012
1117,6421,5.0,2012
1117,7426,5.0,2012
1117,8319,5.0,2012
1117,8871,5.0,2012
1117,9979,5.0,2012
1145,4616,5.0,2012
1145,9441,5.0,2012
1145,9923,5.0,2012
1153,7439,5.0,2012
1154,4825,5.0,2012
1154,8337,5.0,2012
1154,8813,5.0,2012
1154,9992,5.0,2012
1184,8066,5.0,2012
1309,1642,5.0,2012
1309,2409,5.0,2012
1309,5107,5.0,2012
1309,8756,5.0,2012
1309,9087,5.0,2012
1309,9106,5.0,2012
1309,9453,5.0,2012
1037,1769,5.0,2013
1037,6276,5.0,2013
1037,7856,5.0,2013
1037,8895,5.0,2013
1037,9013,5.0,2013
1037,9458,5.0,2013
1037,9998,5.0,2013
1042,1047,5.0,2013
1044,1117,5.0,2013
1044,1322,5.0,2013
1044,1327,5.0,2013
1044,1329,5.0,2013
1044,3197,5.0,2013
1044,3198,5.0,2013
1044,4878,5.0,2013
1044,5656,5.0,2013
1044,6199,5.0,2013
1044,8319,5.0,2013
1044,8766,5.0,2013
1047,8534,5.0,2013
1047,9447,5.0,2013
1101,8912,5.0,2013
1105,5048,5.0,2013
1117,9455,5.0,2013
1117,9459,5.0,2013
1127,5534,5.0,2013
1145,7845,5.0,2013
1145,9314,5.0,2013
1153,6468,5.0,2013
1153,8843,5.0,2013
1154,8452,5.0,2013
1154,9942,5.0,2013
1189,9111,5.0,2013
1309,1642,5.0,2013
1309,1692,5.0,2013
1309,5318,5.0,2013
1309,7859,5.0,2013
1309,8372,5.0,2013
1309,8733,5.0,2013
1309,8853,5.0,2013
1309,8885,5.0,2013
1309,9082,5.0,2013
1309,9445,5.0,2013
1322,9455,5.0,2013
1322,9459,5.0,2013
1327,1332,5.0,2013
1327,6167,5.0,2013
1327,7426,5.0,2013
1327,7821,5.0,2013
1327,8387,5.0,2013
1026,1189,5.0,2014
1028,8584,5.0,2014
1041,9691,5.0,2014
1042,1117,5.0,2014
1042,3989,5.0,2014
1042,6167,5.0,2014
1042,6421,5.0,2014
1042,8319,5.0,2014
1042,8387,5.0,2014
1042,8772,5.0,2014
1042,9747,5.0,2014
1043,9979,5.0,2014
1044,1117,5.0,2014
1044,1322,5.0,2014
1044,1332,5.0,2014
1044,1362,5.0,2014
1044,3115,5.0,2014
1044,3138,5.0,2014
1044,3197,5.0,2014
1044,3198,5.0,2014
1044,3989,5.0,2014
1044,6167,5.0,2014
1044,6199,5.0,2014
1044,6421,5.0,2014
1044,8291,5.0,2014
1044,8319,5.0,2014
1044,8612,5.0,2014
1044,8613,5.0,2014
1044,8766,5.0,2014
1044,8871,5.0,2014
1044,9925,5.0,2014
1046,4766,5.0,2014
1046,5107,5.0,2014
1046,8524,5.0,2014
1046,8534,5.0,2014
1046,8631,5.0,2014
1046,8752,5.0,2014
1046,9486,5.0,2014
1046,9489,5.0,2014
1046,9747,5.0,2014
1047,9447,5.0,2014
1101,5264,5.0,2014
1105,1341,5.0,2014
1114,8514,5.0,2014
1114,9173,5.0,2014
1117,1627,5.0,2014
1117,2222,5.0,2014
1117,3447,5.0,2014
1117,3528,5.0,2014
1117,4878,5.0,2014
1026,1436,7.0710678118654755,2015
1026,4423,7.0710678118654755,2015
1026,5766,7.0710678118654755,2015
1027,4063,7.0710678118654755,2015
1027,8618,7.0710678118654755,2015
1028,3652,7.0710678118654755,2015
1028,8584,7.0710678118654755,2015
1028,9627,7.0710678118654755,2015
1037,1349,7.0710678118654755,2015
1037,3542,7.0710678118654755,2015
1037,4016,7.0710678118654755,2015
1037,5114,7.0710678118654755,2015
1037,6276,7.0710678118654755,2015
1037,6577,7.0710678118654755,2015
1037,7428,7.0710678118654755,2015
1037,7856,7.0710678118654755,2015
1037,8895,7.0710678118654755,2015
1037,9458,7.0710678118654755,2015
1037,9464,7.0710678118654755,2015
1041,1047,7.0710678118654755,2015
1041,1119,7.0710678118654755,2015
1041,1309,7.0710678118654755,2015
1041,1642,7.0710678118654755,2015
1041,2155,7.0710678118654755,2015
1041,2872,7.0710678118654755,2015
1041,3653,7.0710678118654755,2015
1041,4766,7.0710678118654755,2015
1041,4877,7.0710678118654755,2015
1041,5647,7.0710678118654755,2015
1041,6353,7.0710678118654755,2015
1041,6422,7.0710678118654755,2015
1041,7472,7.0710678118654755,2015
1041,7536,7.0710678118654755,2015
1041,7937,7.0710678118654755,2015
1041,8439,7.0710678118654755,2015
1041,8466,7.0710678118654755,2015
1041,8497,7.0710678118654755,2015
1041,8503,7.0710678118654755,2015
1041,8524,7.0710678118654755,2015
1041,8528,7.0710678118654755,2015
1041,8583,7.0710678118654755,2015
1041,8631,7.0710678118654755,2015
1041,8642,7.0710678118654755,2015
1041,8733,7.0710678118654755,2015
1041,8745,7.0710678118654755,2015
1041,8756,7.0710678118654755,2015
1041,8775,7.0710678118654755,2015
1041,9106,7.0710678118654755,2015
1041,9107,7.0710678118654755,2015
1041,9214,7.0710678118654755,2015
1026,4444,7.0710678118654755,2016
1026,7332,7.0710678118654755,2016
1027,9738,7.0710678118654755,2016
1028,9295,7.0710678118654755,2016
1037,5047,7.0710678118654755,2016
1037,6577,7.0710678118654755,2016
1037,7856,7.0710678118654755,2016
1037,8438,7.0710678118654755,2016
1037,8469,7.0710678118654755,2016
1037,8572,7.0710678118654755,2016
1037,8856,7.0710678118654755,2016
1037,8895,7.0710678118654755,2016
1037,9026,7.0710678118654755,2016
1037,9053,7.0710678118654755,2016
1037,9335,7.0710678118654755,2016
1037,9458,7.0710678118654755,2016
1037,9656,7.0710678118654755,2016
1037,9998,7.0710678118654755,2016
1041,1042,7.0710678118654755,2016
1041,1119,7.0710678118654755,2016
