GroupA,GroupB,Distance,Group
1119,4616,5.0,2008
8221,9459,8.660254037844387,2008
3088,3989,10.0,2008
3528,8766,10.0,2008
3528,9455,10.0,2008
4859,9087,10.0,2008
5647,8927,10.0,2008
6167,7821,10.0,2008
8882,9841,10.0,2008
9459,9609,10.0,2008
1044,4878,11.180339887498949,2008
1119,3197,11.180339887498949,2008
1119,3528,11.180339887498949,2008
1119,8766,11.180339887498949,2008
1309,8439,11.180339887498949,2008
1646,8505,11.180339887498949,2008
3138,8892,11.180339887498949,2008
3989,5245,11.180339887498949,2008
4766,8612,11.180339887498949,2008
6167,9459,11.180339887498949,2008
6683,9448,11.180339887498949,2008
7536,9957,11.180339887498949,2008
7821,8613,11.180339887498949,2008
8291,8524,11.180339887498949,2008
8362,8941,11.180339887498949,2008
8489,9486,11.180339887498949,2008
8528,9106,11.180339887498949,2008
8612,9006,11.180339887498949,2008
8658,9457,11.180339887498949,2008
1042,1099,12.24744871391589,2008
1663,8336,12.24744871391589,2008
2222,8752,12.24744871391589,2008
2409,8756,12.24744871391589,2008
3088,9979,12.24744871391589,2008
3138,7821,12.24744871391589,2008
3197,3528,12.24744871391589,2008
3197,4616,12.24744871391589,2008
3197,6199,12.24744871391589,2008
3197,8766,12.24744871391589,2008
3528,4616,12.24744871391589,2008
3528,6199,12.24744871391589,2008
3528,8552,12.24744871391589,2008
3653,5318,12.24744871391589,2008
4616,8766,12.24744871391589,2008
4766,8291,12.24744871391589,2008
4766,8772,12.24744871391589,2008
4766,9006,12.24744871391589,2008
4878,9979,12.24744871391589,2008
6167,8221,12.24744871391589,2008
6167,9662,12.24744871391589,2008
4616,6199,5.0,2009
1329,4878,7.0710678118654755,2009
3197,3198,7.0710678118654755,2009
3197,6199,7.0710678118654755,2009
3198,6199,7.0710678118654755,2009
8319,9979,7.0710678118654755,2009
1119,9747,8.660254037844387,2009
1329,4616,8.660254037844387,2009
3197,4616,8.660254037844387,2009
3198,4616,8.660254037844387,2009
8319,8552,8.660254037844387,2009
1119,8319,10.0,2009
1329,3528,10.0,2009
1329,6199,10.0,2009
3088,9747,10.0,2009
4482,6167,10.0,2009
7426,8319,10.0,2009
7426,9979,10.0,2009
8198,8505,10.0,2009
8221,9609,10.0,2009
8319,9455,10.0,2009
8481,8813,10.0,2009
8883,9747,10.0,2009
1119,3088,11.180339887498949,2009
3088,9979,11.180339887498949,2009
3115,8612,11.180339887498949,2009
3197,8766,11.180339887498949,2009
3198,8766,11.180339887498949,2009
3528,8319,11.180339887498949,2009
3541,8221,11.180339887498949,2009
3541,9609,11.180339887498949,2009
3989,8883,11.180339887498949,2009
3989,9747,11.180339887498949,2009
4616,4878,11.180339887498949,2009
4766,8221,11.180339887498949,2009
4766,9082,11.180339887498949,2009
4766,9609,11.180339887498949,2009
4878,8766,11.180339887498949,2009
6199,8766,11.180339887498949,2009
6353,9152,11.180339887498949,2009
7821,8319,11.180339887498949,2009
7821,9455,11.180339887498949,2009
7821,9979,11.180339887498949,2009
7935,8361,11.180339887498949,2009
8221,8772,11.180339887498949,2009
8221,9459,11.180339887498949,2009
8319,9747,11.180339887498949,2009
8552,9455,11.180339887498949,2009
8552,9979,11.180339887498949,2009
8882,9609,11.180339887498949,2009
3197,8766,5.0,2010
8319,9455,7.0710678118654755,2010
1119,3197,8.660254037844387,2010
3197,3198,8.660254037844387,2010
7929,8534,8.660254037844387,2010
1119,8319,10.0,2010
1119,8766,10.0,2010
1692,9445,10.0,2010
3198,8319,10.0,2010
3198,8766,10.0,2010
4616,9006,10.0,2010
4616,9445,10.0,2010
4859,8044,10.0,2010
4878,8319,10.0,2010
4878,9455,10.0,2010
6167,9609,10.0,2010
8612,8772,10.0,2010
8733,9749,10.0,2010
8882,9006,10.0,2010
9006,9445,10.0,2010
1119,6199,11.180339887498949,2010
1309,7859,11.180339887498949,2010
1485,3899,11.180339887498949,2010
1646,8361,11.180339887498949,2010
2626,9453,11.180339887498949,2010
3197,8319,11.180339887498949,2010
4482,9459,11.180339887498949,2010
4878,6199,11.180339887498949,2010
