PostcodeA,PostcodeB,Distance,Group
6616,7351,5.41937203024645e-06,2008
2471,8409,0.00021503350291141032,2008
2172,3755,0.00026012204818925966,2008
1486,3941,0.0005012531328532077,2008
1326,3252,0.000552852720034025,2008
2315,3608,0.0008080808080705992,2008
3069,3527,0.0008169934640562815,2008
1313,9218,0.0008689153199838984,2008
3774,3821,0.000940603633353021,2008
1011,2262,0.0010080098849698516,2008
3981,6601,0.0011300651180192745,2008
3474,6846,0.0011918794625955798,2008
3053,8396,0.0012189879312245466,2008
2715,3431,0.0012315270936085199,2008
8407,8636,0.0012820512820894692,2008
2584,8614,0.0012821867167929213,2008
3225,3328,0.0012909544159640518,2008
2133,8629,0.001443233362238061,2008
3435,7081,0.0016048859862394238,2008
1354,7271,0.0016483516483560834,2008
2995,8446,0.0016918125318170496,2008
1060,9135,0.0017191005491383748,2008
5335,7039,0.0018189547654401395,2008
4221,8242,0.0018195118337871463,2008
2408,9035,0.00198019358222723,2008
2391,8647,0.0020094994519581633,2008
3411,4247,0.0020271266401152843,2008
6551,8456,0.0020367567232710826,2008
6542,9025,0.0020676891082302973,2008
2025,2035,0.0021739130434639264,2008
7323,9212,0.0022115565593878728,2008
8512,9103,0.0022328548644168222,2008
1191,2554,0.0023459489567869696,2008
1827,8808,0.002380952380974577,2008
3851,9296,0.002380952380974577,2008
1274,9055,0.0024255002695952044,2008
1355,6953,0.0024387548206163956,2008
1394,6666,0.0024637300733729717,2008
1973,2572,0.0025179770465229012,2008
1471,8389,0.0025288821685194307,2008
2545,3026,0.002600410009804932,2008
1521,9221,0.002659563522939834,2008
3984,8172,0.0026631466197386544,2008
1241,1679,0.002837977296195504,2008
3611,3972,0.0028576576978025514,2008
2262,3562,0.0028657616892928672,2008
1688,9108,0.0028778332115564353,2008
1474,9243,0.0028985507246375164,2008
1273,1402,0.002941176470613982,2008
3062,3466,0.0030345471521968648,2008
1689,8043,2.842170943040401e-14,2009
6085,7214,5.684341886080802e-14,2009
8453,9293,0.00010671957443264546,2009
5821,9862,0.00011944577164513248,2009
2661,4611,0.00012293625704273836,2009
5688,6866,0.00015294837405122053,2009
1695,9581,0.0001811594202933975,2009
3581,7412,0.00018253202921414413,2009
5104,8491,0.00027158864483567413,2009
1187,8015,0.0003330003330006548,2009
5741,9494,0.0003449320231538877,2009
3354,6004,0.00036630036629503593,2009
6422,7339,0.00040849673200682446,2009
3402,6043,0.0004329004329122199,2009
5386,5864,0.0004578754578687949,2009
1064,1092,0.0004835487537206973,2009
1671,6715,0.0005341880341802607,2009
7441,7841,0.0005411255411331695,2009
3011,6822,0.0005672093547559598,2009
6535,8301,0.0005783689994132146,2009
9024,9143,0.000580046024595049,2009
1243,8822,0.0006532730840831391,2009
1621,9221,0.0006655775397632624,2009
8071,9084,0.0006944444444627607,2009
2613,3331,0.0007078996722214015,2009
4261,6343,0.0007639419404767978,2009
3848,5392,0.0007694938440465648,2009
3441,9843,0.0007900316012978692,2009
1741,2995,0.0008333333333041537,2009
2548,9141,0.0008450096750181046,2009
3721,4105,0.0008609536962467246,2009
3404,6922,0.0008672248803804905,2009
3247,9153,0.0009768009768151842,2009
6023,9947,0.0009803921568902751,2009
4132,6462,0.001002673796790532,2009
5633,7213,0.001032645545478772,2009
