GroupA,GroupB,Distance,Group
3291,6717,0.02395377103303013,2008
3274,3443,0.03942580958123548,2008
2275,6901,0.05075356769451508,2008
2211,7081,0.07391591525597059,2008
2995,3732,0.08701874097605056,2008
1617,2252,0.08896159787906621,2008
3947,6961,0.11242891079581772,2008
1462,6712,0.11409043877518074,2008
2406,6828,0.1464623262387199,2008
3362,3573,0.15513582342956056,2008
1215,9287,0.17373402107006086,2008
1902,2105,0.1983186120655369,2008
1695,2104,0.20041583283785397,2008
6522,6916,0.22246328758030567,2008
6915,7126,0.2261408796917191,2008
3328,3573,0.23640881316456222,2008
1111,3171,0.2407971657929001,2008
3791,6668,0.245381387684988,2008
3434,8255,0.24625615805461434,2008
3544,3553,0.2621040169182412,2008
1921,3841,0.2650990623220999,2008
2265,6836,0.2764278610123062,2008
2382,3734,0.2765366643819908,2008
4102,7311,0.2765963930899462,2008
3114,3815,0.279881120844252,2008
7232,8052,0.28359214086459483,2008
3631,7156,0.28436623368352687,2008
2435,3844,0.2851481253480647,2008
1216,2957,0.28952254589012955,2008
1244,4225,0.30163244292094726,2008
6882,7339,0.30731814857644296,2008
3531,3555,0.31330591778205763,2008
3363,3371,0.3163528483358867,2008
3328,3362,0.3197885721618246,2008
6641,8415,0.3198909541166515,2008
2611,4221,0.32110904252514877,2008
3274,6708,0.3282517640777336,2008
3962,3984,0.32875684503417896,2008
2401,3605,0.3318506803121849,2008
5335,8411,0.33511570112341316,2008
2968,9216,0.33766807399745963,2008
2511,3372,0.3440134164867199,2008
1616,3904,0.3448841847996645,2008
3772,6685,0.349261433392341,2008
2223,2411,0.3502803064452391,2008
3443,6708,0.3523903089686609,2008
3448,7007,0.3525287755725646,2008
1701,6871,0.3543097505642904,2008
1274,2651,0.3551059318524953,2008
1016,6826,0.36737857063146245,2008
6444,6882,0.008460225739348735,2009
6129,6866,0.019072011753543235,2009
7581,9678,0.031910171476041464,2009
6533,9133,0.03224993444266533,2009
6133,8822,0.04014298861312308,2009
1636,4709,0.04203540541782885,2009
3904,9968,0.04287093232403622,2009
8301,8556,0.04304332686779628,2009
2394,6904,0.046747804325357786,2009
5991,6095,0.0517654347756363,2009
3274,7855,0.05947844244463675,2009
1775,6562,0.06251514571151572,2009
3843,6137,0.0708744405425301,2009
3151,8052,0.07168506693868136,2009
1755,1831,0.07577365459876029,2009
2995,5935,0.07665688623575415,2009
1471,9871,0.08109088524978803,2009
5985,8746,0.08315261958505829,2009
4611,9077,0.0870444178963427,2009
6075,6562,0.08832143170734247,2009
6914,6915,0.09080110324311767,2009
1775,6075,0.09138213416440251,2009
7854,9982,0.0935655940299481,2009
5922,7847,0.10323006867143011,2009
7211,7251,0.10467888352716882,2009
8615,9367,0.10505656242879774,2009
2162,8845,0.10645526443696506,2009
2316,5025,0.11795104066025502,2009
2983,3524,0.12580438714259098,2009
8641,8893,0.12605006147157286,2009
9311,9936,0.12790585982815916,2009
1113,7223,0.12959914112856347,2009
5061,5912,0.13158730810241634,2009
2315,3021,0.13391697289345417,2009
3223,6845,0.13429381883061864,2009
1674,6914,0.13702056098219353,2009
1141,4847,0.1439027717627189,2009
1901,9296,0.14435558977148324,2009
1771,3271,0.14529335107154287,2009
1767,5384,0.14960636588358572,2009
2182,4223,0.153350601410053,2009
1181,1972,0.15810107478480345,2009
9642,9901,0.1584824928756021,2009
2451,3921,0.15871833552059977,2009
3055,8397,0.15955443887151846,2009
3742,5344,0.1638910075192451,2009
3731,9221,0.16739847524022988,2009
5988,9022,0.1679729265399565,2009
3751,7551,0.16924197348128445,2009
1068,3034,0.17126866375851937,2009
7761,7875,0.027811837119787342,2010
1678,7875,0.041948928531880744,2010
5922,5953,0.054421905224159815,2010
1829,1862,0.06166905914577646,2010
1678,7761,0.06179953684101861,2010
1796,3329,0.08756369730542266,2010
7064,9302,0.08854081010882069,2010
1746,6176,0.09108482233979553,2010
4661,5224,0.09835137857119233,2010
6432,6461,0.09877354491727772,2010
2272,9207,0.10523104721413754,2010
8081,9296,0.10541732661681692,2010
8502,9054,0.10567679002679467,2010
8091,8313,0.10685673259561362,2010
2871,6218,0.1150301167928502,2010
6142,8321,0.12465216850833408,2010
3645,5345,0.13005383355042763,2010
2105,3454,0.13172438809392778,2010
2271,9991,0.1367554656742064,2010
2042,9635,0.1450972378948386,2010
3014,3813,0.14598386115303666,2010
1722,7091,0.1471732970072659,2010
3851,8051,0.15269478978849396,2010
9133,9718,0.1535519201879519,2010
4151,9409,0.1536504697116097,2010
3015,3053,0.15425297084956063,2010
1622,6832,0.1544339218914896,2010
1382,3023,0.15698052673310456,2010
3172,6164,0.15859172368517646,2010
1182,2968,0.15988225422733257,2010
6433,6713,0.16026904146811322,2010
6536,9908,0.16045389400190688,2010
5554,9968,0.1631027908407195,2010
5995,6102,0.16321165855386574,2010
6882,8309,0.16839163678462565,2010
3958,4023,0.17607953138413748,2010
3434,7855,0.1782768744854322,2010
2995,6464,0.17861668313532134,2010
2371,2751,0.17914231542291387,2010
2415,3731,0.17916628636805187,2010
3431,4707,0.18048790504971685,2010
6137,9502,0.18139926572919593,2010
4214,5473,0.18349118110314944,2010
6471,7091,0.1846320616230165,2010
1393,4175,0.1871548981187825,2010
1771,2988,0.1893203028664421,2010
1735,1749,0.18991155188982925,2010
4061,5943,0.19104386567700063,2010
1135,7433,0.19367210184181013,2010
1824,3249,0.19433133967239508,2010
2033,2925,0.018306344354939247,2011
6991,9771,0.023928137094386244,2011
2161,8242,0.02606294054902541,2011
6041,6371,0.06261650390070587,2011
2265,6605,0.06996354735993111,2011
2333,9451,0.07033984638912005,2011
4772,7201,0.07456929209501793,2011
1773,6601,0.07468178100613786,2011
8181,9514,0.08034325830918891,2011
1633,5161,0.08149897316080172,2011
4247,5306,0.08587301246513443,2011
8245,9801,0.09370377594865013,2011
8033,9076,0.09481063327150253,2011
6351,8731,0.09603975154941584,2011
6367,8152,0.09703506750058367,2011
6441,6469,0.10763444193838598,2011
1215,2281,0.10897532640710562,2011
6005,9054,0.11334482126793022,2011
6004,6444,0.12088528739466385,2011
1454,6705,0.12340150259781957,2011
3771,4726,0.12509024676448294,2011
3732,6227,0.1282703801693014,2011
2223,9403,0.13013859187910665,2011
2105,3454,0.13172438809392778,2011
1354,6988,0.13398405171273875,2011
1427,6051,0.14142165851237487,2011
1814,9601,0.14322579189632453,2011
3014,3813,0.14598386115303666,2011
1815,7051,0.15136161374824084,2011
3015,3053,0.15425297084956063,2011
4209,7482,0.15921802461304038,2011
3534,7419,0.16025114532893622,2011
9299,9721,0.16266130527130723,2011
2451,9646,0.16594604495413645,2011
2203,3291,0.17201044123093204,2011
7251,8831,0.1730270087154119,2011
2712,3812,0.17436444601919138,2011
1352,4116,0.17527477277360268,2011
8845,9043,0.17642318361396284,2011
8471,9035,0.17841329210768359,2011
2717,5142,0.17947113572274195,2011
4614,4901,0.17967043058378057,2011
1719,7553,0.18003305057472926,2011
1641,8141,0.18078523270987462,2011
6825,9043,0.1874131981278949,2011
3851,7161,0.18914907104059633,2011
3223,4904,0.18984424821267706,2011
1693,6573,0.1899802967692935,2011
6269,9997,0.19061007199641003,2011
7761,9831,0.19312518116732363,2011
1475,9462,0.02897382426855602,2012
1486,6585,0.051076223449248566,2012
4681,6231,0.05476190476190368,2012
3231,8926,0.055921707176657245,2012
4158,9459,0.06766401941655022,2012
2572,2925,0.06835795798394924,2012
6262,9862,0.07972131630711646,2012
1156,8161,0.08551152452247152,2012
1501,6431,0.08855988345495659,2012
2181,5935,0.09063427774126043,2012
4001,6373,0.09378040255770814,2012
2914,8322,0.10137332345063327,2012
1901,6301,0.10291405292387414,2012
1703,6715,0.10929370836342304,2012
5308,6015,0.11169621435148787,2012
6851,8808,0.11212580168843657,2012
2317,5345,0.12144401800432246,2012
9644,9792,0.12265320302189316,2012
5988,6074,0.12437085081199854,2012
3962,3992,0.12688776107762284,2012
1614,6082,0.12838456372046597,2012
7315,9281,0.1307708453595092,2012
1059,3085,0.13385180401217617,2012
5667,7546,0.13500211674798487,2012
3115,6913,0.1481037694249113,2012
1276,2912,0.15134179356791283,2012
6436,8765,0.1551399722306002,2012
6129,9005,0.15696978203354145,2012
2905,3256,0.15724671699740708,2012
1566,6122,0.16388521205474163,2012
2012,9628,0.1654848867145691,2012
7391,7551,0.1676407934726744,2012
1025,4827,0.1679462830928824,2012
8627,9649,0.1714038149376097,2012
2802,9737,0.17281799375563017,2012
6551,7765,0.17515507402556574,2012
