PostcodeA,PostcodeB,Distance,Group
1489,3751,2.252252252787912e-05,2008
3089,4207,8.658008657391747e-05,2008
1846,3951,0.00015810276680383595,2008
1501,6951,0.000189393939407978,2008
2181,6951,0.000189393939407978,2008
2191,6883,0.0002392344497650356,2008
4043,7038,0.0003077499464865241,2008
6666,9133,0.00033883947480717325,2008
1076,3131,0.0003596187798819983,2008
1451,1476,0.0003751280925143874,2008
1461,1711,0.0004101161995890834,2008
2561,3264,0.000424958553679744,2008
1011,1035,0.0004305603395664548,2008
2022,8252,0.0005159958720355462,2008
1658,6537,0.0005575593989419758,2008
1561,9073,0.0005795198964477777,2008
1742,3051,0.000631313131322031,2008
6678,7095,0.0006613756613660371,2008
7223,8172,0.0006944444444485498,2008
2965,6951,0.0007675438596379536,2008
2281,9166,0.0007936507936392445,2008
3438,6843,0.0007994840103151546,2008
5328,7061,0.000801282051284602,2008
3291,6717,0.0008227067050654568,2008
1094,2652,0.0008799824003489221,2008
4007,5302,0.0009090909090900823,2008
1501,2965,0.0009569377990459316,2008
2181,2965,0.0009569377990459316,2008
3316,4126,0.0010833185416743163,2008
2616,2751,0.0010857408866087326,2008
2103,2809,0.0011200918347782363,2008
2031,9155,0.0011693216648893667,2008
1756,2959,0.0012106056997680525,2008
1043,3993,0.0012228416817663401,2008
2461,6604,0.0012531328320903867,2008
3792,4023,0.0012588943623512705,2008
1181,6535,0.0012733446519632707,2008
1824,8255,0.0013586956521720595,2008
2563,7106,0.0014102731918796962,2008
1815,6821,0.0014285714285762197,2008
1111,2991,0.001472058882356464,2008
2716,2991,0.001472058882356464,2008
1716,3972,0.001522293964157484,2008
1431,2771,0.0015479876161066386,2008
2991,3261,0.0015582441479438103,2008
1731,3465,0.001633986928112563,2008
1731,6815,0.001633986928112563,2008
2547,3206,0.0016541353383487944,2008
1646,6606,0.0016977293383320102,2008
1906,3233,0.001777634130576189,2008
5328,6082,1.4210854715202004e-14,2009
6082,6914,1.4210854715202004e-14,2009
6104,9843,2.842170943040401e-14,2009
6627,6862,2.842170943040401e-14,2009
1489,3751,2.252252252787912e-05,2009
6361,9073,3.7618107157300074e-05,2009
3089,4207,8.658008657391747e-05,2009
5051,9985,8.775008775785409e-05,2009
2023,4652,0.00014619883040722925,2009
1846,3951,0.00015810276680383595,2009
1211,5243,0.00018315018314751796,2009
5801,6691,0.00019157088122767618,2009
6462,6691,0.00019157088122767618,2009
